Employment
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Student, full-time"
"Student, full-time"
"Student, full-time"
"Employed, full-time"
"Student, full-time"
"Not employed, but looking for work"
"Employed, full-time"
"Independent contractor, freelancer, or self-employed"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Not employed, and not looking for work"
"Employed, full-time"
"Employed, full-time"
"Student, full-time"
"Independent contractor, freelancer, or self-employed"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Student, part-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Independent contractor, freelancer, or self-employed"
"Independent contractor, freelancer, or self-employed"
"Employed, full-time"
"Student, full-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Student, full-time"
"Employed, full-time"
"Independent contractor, freelancer, or self-employed"
"Employed, full-time"
"Independent contractor, freelancer, or self-employed"
"Student, full-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Student, full-time"
"Employed, full-time"
"Employed, full-time"
"Student, part-time"
"Employed, full-time"
"Employed, part-time"
"Independent contractor, freelancer, or self-employed"
"Employed, full-time"
"Student, full-time"
"Student, full-time"
"Employed, part-time"
"Student, part-time"
"Employed, part-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
I prefer not to say
"Employed, full-time"
"Student, full-time"
"Not employed, but looking for work"
"Student, full-time"
"Employed, part-time"
"Employed, full-time"
"Student, part-time"
"Employed, full-time"
"Employed, full-time"
"Student, full-time"
"Student, full-time"
"Employed, full-time"
"Not employed, but looking for work"
"Employed, full-time"
"Not employed, and not looking for work"
"Employed, full-time"
"Employed, full-time"
"Student, full-time"
"Independent contractor, freelancer, or self-employed"
"Employed, part-time"
"Employed, full-time"
"Employed, full-time"
"Not employed, but looking for work"
"Employed, full-time"
"Employed, full-time"
"Student, part-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Independent contractor, freelancer, or self-employed"
"Employed, full-time"
"Independent contractor, freelancer, or self-employed"
"Employed, full-time"
"Not employed, but looking for work"
"Not employed, and not looking for work"
"Employed, full-time"
"Employed, full-time"
"Independent contractor, freelancer, or self-employed"
"Employed, full-time"
I prefer not to say
"Student, full-time"
"Employed, full-time"
"Employed, full-time"
"Student, part-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Employed, full-time"
"Student, full-time"
"Employed, full-time"
"Employed, full-time"
"Independent contractor, freelancer, or self-employed"
"Employed, full-time"
"Independent contractor, freelancer, or self-employed"
"Employed, full-time"
"Employed, full-time"
"Student, full-time"
"Employed, full-time"
"Employed, full-time"
"Student, full-time"
"Employed, full-time"
